date,Rolex 116500 (EUR)
2006-10-12,11171
2006-10-13,11171
2006-10-14,11171
2006-10-15,11171
2006-10-16,11171
2006-10-17,11171
2006-10-18,11171
2006-10-19,11171
2006-10-20,11171
2006-10-21,11171
2006-10-22,11171
2006-10-23,11171
2006-10-24,11171
2006-10-25,11171
2006-10-26,11171
2006-10-27,11171
2006-10-28,11171
2006-10-29,11171
2006-10-30,11171
2006-10-31,11171
2006-11-01,11171
2006-11-02,11171
2006-11-03,11171
2006-11-04,11171
2006-11-05,11171
2006-11-06,11171
2006-11-07,11171
2006-11-08,11171
2006-11-09,11171
2006-11-10,11171
2006-11-11,11171
2006-11-12,11171
2006-11-13,11171
2006-11-14,11171
2006-11-15,11171
2006-11-16,11171
2006-11-17,11171
2006-11-18,11171
2006-11-19,11171
2006-11-20,11171
2006-11-21,11171
2006-11-22,11171
2006-11-23,11171
2006-11-24,11171
2006-11-25,11171
2006-11-26,11171
2006-11-27,11171
2006-11-28,11171
2006-11-29,11171
2006-11-30,11171
2006-12-01,11171
2006-12-02,11171
2006-12-03,11171
2006-12-04,11171
2006-12-05,11171
2006-12-06,11171
2006-12-07,11171
2006-12-08,11171
2006-12-09,11171
2006-12-10,11171
2006-12-11,11171
2006-12-12,11171
2006-12-13,11171
2006-12-14,11171
2006-12-15,11171
2006-12-16,11171
2006-12-17,11171
2006-12-18,11171
2006-12-19,11171
2006-12-20,11171
2006-12-21,11171
2006-12-22,11171
2006-12-23,11171
2006-12-24,11171
2006-12-25,11171
2006-12-26,11171
2006-12-27,11171
2006-12-28,11171
2006-12-29,11171
2006-12-30,11171
2006-12-31,11171
2007-01-01,11171
2007-01-02,11171
2007-01-03,11171
2007-01-04,11171
2007-01-05,11171
2007-01-06,11171
2007-01-07,11171
2007-01-08,11171
2007-01-09,11171
2007-01-10,11171
2007-01-11,11171
2007-01-12,11171
2007-01-13,11171
2007-01-14,11171
2007-01-15,11171
2007-01-16,11171
2007-01-17,11171
2007-01-18,11171
2007-01-19,11171
2007-01-20,11171
2007-01-21,11171
2007-01-22,11171
2007-01-23,11171
2007-01-24,11171
2007-01-25,11171
2007-01-26,11171
2007-01-27,11171
2007-01-28,11171
2007-01-29,11171
2007-01-30,11171
2007-01-31,11171
2007-02-01,11171
2007-02-02,11171
2007-02-03,11171
2007-02-04,11171
2007-02-05,11171
2007-02-06,11171
2007-02-07,11171
2007-02-08,11171
2007-02-09,11171
2007-02-10,11171
2007-02-11,11171
2007-02-12,11171
2007-02-13,11171
2007-02-14,11171
2007-02-15,11171
2007-02-16,11171
2007-02-17,11171
2007-02-18,11171
2007-02-19,11171
2007-02-20,11171
2007-02-21,11171
2007-02-22,11171
2007-02-23,11171
2007-02-24,11171
2007-02-25,11171
2007-02-26,11171
2007-02-27,11171
2007-02-28,11171
2007-03-01,11171
2007-03-02,11171
2007-03-03,11171
2007-03-04,11171
2007-03-05,11171
2007-03-06,11171
2007-03-07,11171
2007-03-08,11171
2007-03-09,11171
2007-03-10,11171
2007-03-11,11171
2007-03-12,11171
2007-03-13,11171
2007-03-14,11171
2007-03-15,11171
2007-03-16,11171
2007-03-17,11171
2007-03-18,11171
2007-03-19,11171
2007-03-20,11171
2007-03-21,11171
2007-03-22,11171
2007-03-23,11171
2007-03-24,11171
2007-03-25,11171
2007-03-26,11171
2007-03-27,11171
2007-03-28,11171
2007-03-29,11171
2007-03-30,11171
2007-03-31,11171
2007-04-01,11171
2007-04-02,11171
2007-04-03,11171
