Date,Index Value
2001-07-31,93.491
2001-08-31,94.715
2001-09-30,94.275
2001-10-31,94.538
2001-11-30,94.77
2001-12-31,94.77
2002-01-31,95.345
2002-02-28,96.971
2002-03-31,99.362
2002-04-30,97.63
2002-05-31,100.428
2002-06-30,101.637
2002-07-31,102.419
2002-08-31,101.759
2002-09-30,97.949
2002-10-31,98.193
2002-11-30,96.408
2002-12-31,98.91
2003-01-31,92.912
2003-02-28,92.292
2003-03-31,95.331
2003-04-30,95.99
2003-05-31,97.182
2003-06-30,97.158
2003-07-31,98.353
2003-08-31,98.602
2003-09-30,97.136
2003-10-31,98.349
2003-11-30,98.312
2003-12-31,100
2004-01-31,100.409
2004-02-29,100.033
2004-03-31,99.616
2004-04-30,98.402
2004-05-31,98.022
2004-06-30,99.814
2004-07-31,97.562
2004-08-31,97.119
2004-09-30,96.967
2004-10-31,97.029
2004-11-30,96.459
2004-12-31,97.868
2005-01-31,97.868
2005-02-28,98.906
2005-03-31,99.928
2005-04-30,100.529
2005-05-31,101.396
2005-06-30,101.075
2005-07-31,102.189
2005-08-31,105.45
2005-09-30,106.125
2005-10-31,111.881
2005-11-30,114.184
2005-12-31,115.088
2006-01-31,118.278
2006-02-28,122.476
2006-03-31,127.381
2006-04-30,132.715
2006-05-31,141.425
2006-06-30,154.871
2006-07-31,161.937
2006-08-31,164.227
2006-09-30,161.625
2006-10-31,165.452
2006-11-30,168.349
2006-12-31,172.27
2007-01-31,175.913
2007-02-28,181.115
2007-03-31,191.107
2007-04-30,208.783
2007-05-31,232.68
2007-06-30,245.212
2007-07-31,249.545
2007-08-31,246.9
2007-09-30,243.466
2007-10-31,240.947
2007-11-30,239.535
2007-12-31,241.52
2008-01-31,242.799
2008-02-29,249.09
2008-03-31,256.067
2008-04-30,259.94
2008-05-31,260.793
2008-06-30,266.566
2008-07-31,265.05
2008-08-31,265.128
2008-09-30,255.329
2008-10-31,215.903
2008-11-30,211.412
2008-12-31,206.806
2009-01-31,209.329
2009-02-28,212.095
2009-03-31,209.565
2009-04-30,215.288
2009-05-31,216.019
2009-06-30,216.209
2009-07-31,217.567
2009-08-31,227.528
2009-09-30,232.057
2009-10-31,236.411
2009-11-30,237.329
2009-12-31,239.358
2010-01-31,245.839
2010-02-28,253.344
2010-03-31,267.4
2010-04-30,283.8
2010-05-31,296.255
2010-06-30,304.67
2010-07-31,300.93
2010-08-31,303.58
2010-09-30,308.12
2010-10-31,315.65
2010-11-30,329.16
2010-12-31,336.28
2011-01-31,346.14
2011-02-28,357.45
2011-03-31,359.01
2011-04-30,358.95
2011-05-31,358.92
2011-06-30,364.69
2011-07-31,359.01
2011-08-31,344.54
2011-09-30,322.66
2011-10-31,308.03
2011-11-30,297.96
2011-12-31,286.33
2012-01-31,290.3
2012-02-29,293.66
2012-03-31,293.55
2012-04-30,289.92
2012-05-31,278.28
2012-06-30,265.12
2012-07-31,257.69
2012-08-31,258.78
2012-09-30,260.08
2012-10-31,258.4
2012-11-30,257.55
2012-12-31,260.78
2013-01-31,268.13
2013-02-28,276.31
2013-03-31,279.9
2013-04-30,276.17
2013-05-31,275.44
2013-06-30,274.22
2013-07-31,272.98
2013-08-31,272.72
2013-09-30,267.95
2013-10-31,265.18
2013-11-30,258.46
2013-12-31,257.15
2014-01-31,254.83
2014-02-28,252.5
2014-03-31,249.02
2014-04-30,246.58
